Date,DRUG,Qty
2018-07-20 00:00:00,Ampicloxa 500mg caps ord(10x10),55
2018-07-21 00:00:00,Ampicloxa 500mg caps ord(10x10),45
2018-07-22 00:00:00,Ampicloxa 500mg caps ord(10x10),30
2018-07-23 00:00:00,Ampicloxa 500mg caps ord(10x10),10
2018-07-24 00:00:00,Ampicloxa 500mg caps ord(10x10),7
2018-07-25 00:00:00,Ampicloxa 500mg caps ord(10x10),25
2018-07-26 00:00:00,Ampicloxa 500mg caps ord(10x10),20
2018-07-27 00:00:00,Ampicloxa 500mg caps ord(10x10),71
2018-07-29 00:00:00,Ampicloxa 500mg caps ord(10x10),115
2018-07-30 00:00:00,Ampicloxa 500mg caps ord(10x10),36
2018-07-31 00:00:00,Ampicloxa 500mg caps ord(10x10),20
2018-08-01 00:00:00,Ampicloxa 500mg caps ord(10x10),22
2018-08-02 00:00:00,Ampicloxa 500mg caps ord(10x10),37
2018-08-03 00:00:00,Ampicloxa 500mg caps ord(10x10),52
2018-08-04 00:00:00,Ampicloxa 500mg caps ord(10x10),25
2018-08-05 00:00:00,Ampicloxa 500mg caps ord(10x10),51
2018-08-06 00:00:00,Ampicloxa 500mg caps ord(10x10),56
2018-08-07 00:00:00,Ampicloxa 500mg caps ord(10x10),20
2018-08-08 00:00:00,Ampicloxa 500mg caps ord(10x10),12
2018-08-09 00:00:00,Ampicloxa 500mg caps ord(10x10),35
2018-08-10 00:00:00,Ampicloxa 500mg caps ord(10x10),80
2018-08-11 00:00:00,Ampicloxa 500mg caps ord(10x10),15
2018-08-12 00:00:00,Ampicloxa 500mg caps ord(10x10),78
2018-08-13 00:00:00,Ampicloxa 500mg caps ord(10x10),84
2018-08-14 00:00:00,Ampicloxa 500mg caps ord(10x10),40
2018-08-15 00:00:00,Ampicloxa 500mg caps ord(10x10),45
2018-08-16 00:00:00,Ampicloxa 500mg caps ord(10x10),40
2018-08-17 00:00:00,Ampicloxa 500mg caps ord(10x10),48
2018-08-18 00:00:00,Ampicloxa 500mg caps ord(10x10),91
2018-08-19 00:00:00,Ampicloxa 500mg caps ord(10x10),47
2018-08-20 00:00:00,Ampicloxa 500mg caps ord(10x10),10
2018-08-21 00:00:00,Ampicloxa 500mg caps ord(10x10),20
2018-08-22 00:00:00,Ampicloxa 500mg caps ord(10x10),32
2018-08-23 00:00:00,Ampicloxa 500mg caps ord(10x10),72
2018-08-24 00:00:00,Ampicloxa 500mg caps ord(10x10),31
2018-08-25 00:00:00,Ampicloxa 500mg caps ord(10x10),70
2018-08-26 00:00:00,Ampicloxa 500mg caps ord(10x10),69
2018-08-27 00:00:00,Ampicloxa 500mg caps ord(10x10),60
2018-08-28 00:00:00,Ampicloxa 500mg caps ord(10x10),60
2018-08-29 00:00:00,Ampicloxa 500mg caps ord(10x10),25
2018-08-30 00:00:00,Ampicloxa 500mg caps ord(10x10),122
2018-08-31 00:00:00,Ampicloxa 500mg caps ord(10x10),43
2018-09-01 00:00:00,Ampicloxa 500mg caps ord(10x10),33
2018-09-02 00:00:00,Ampicloxa 500mg caps ord(10x10),20
2018-09-03 00:00:00,Ampicloxa 500mg caps ord(10x10),71
2018-09-04 00:00:00,Ampicloxa 500mg caps ord(10x10),60
2018-09-05 00:00:00,Ampicloxa 500mg caps ord(10x10),22
2018-09-06 00:00:00,Ampicloxa 500mg caps ord(10x10),80
2018-09-07 00:00:00,Ampicloxa 500mg caps ord(10x10),80
2018-09-08 00:00:00,Ampicloxa 500mg caps ord(10x10),50
2018-09-09 00:00:00,Ampicloxa 500mg caps ord(10x10),20
2018-09-10 00:00:00,Ampicloxa 500mg caps ord(10x10),59
2018-09-11 00:00:00,Ampicloxa 500mg caps ord(10x10),24
2018-09-12 00:00:00,Ampicloxa 500mg caps ord(10x10),25
2018-09-13 00:00:00,Ampicloxa 500mg caps ord(10x10),37
2018-09-14 00:00:00,Ampicloxa 500mg caps ord(10x10),29
2018-09-15 00:00:00,Ampicloxa 500mg caps ord(10x10),65
2018-09-16 00:00:00,Ampicloxa 500mg caps ord(10x10),80
2018-09-17 00:00:00,Ampicloxa 500mg caps ord(10x10),5
2018-09-18 00:00:00,Ampicloxa 500mg caps ord(10x10),30
2018-09-19 00:00:00,Ampicloxa 500mg caps ord(10x10),40
2018-09-20 00:00:00,Ampicloxa 500mg caps ord(10x10),55
2018-09-21 00:00:00,Ampicloxa 500mg caps ord(10x10),50
2018-09-22 00:00:00,Ampicloxa 500mg caps ord(10x10),52
2018-09-23 00:00:00,Ampicloxa 500mg caps ord(10x10),65
2018-09-24 00:00:00,Ampicloxa 500mg caps ord(10x10),20
2018-09-25 00:00:00,Ampicloxa 500mg caps ord(10x10),5
2018-09-26 00:00:00,Ampicloxa 500mg caps ord(10x10),100
2018-09-27 00:00:00,Ampicloxa 500mg caps ord(10x10),75
2018-09-28 00:00:00,Ampicloxa 500mg caps ord(10x10),25
2018-09-30 00:00:00,Ampicloxa 500mg caps ord(10x10),130
